_id,objectid,has_wifi,location_name,public_name,address,postal_code,building_type,gis_id,asset_id,owner,neighbourhood,is_nia,is_emerging,ward,ward_number,telephone,website,globalid,geometry
68,97,Y,REGENT PARK COMMUNITY CENTRE,Regent Park Community Centre,402 SHUTER ST,M5A 1X6,Community Recreation Centre,50366,45463,City of Toronto,Regent Park (72),Y,N,Toronto Centre ,13,416-392-5490,https://www.toronto.ca/data/parks/prd/facilities/complex/3502/index.html,a9313bfb-552a-4847-9dea-97240c20c3a3,"c(-79.3617404395621, 43.6579936203162)"
69,99,Y,SECORD COMMUNITY CENTRE,Secord Community Centre,91 BARRINGTON AVE,M4C 4Y9,Community Recreation Centre,4229,13063,City of Toronto,Taylor-Massey (61),Y,N,Beaches-East York ,19,416-396-2857,https://www.toronto.ca/data/parks/prd/facilities/complex/325/index.html,fd4c63c1-1225-41b2-b71c-833299877494,"c(-79.3015680703546, 43.6917721002016)"
70,102,Y,STAN WADLOW CLUBHOUSE,Stan Wadlow Clubhouse,373 CEDARVALE AVE,M4C 4K7,Community Recreation Centre,4232,2104,City of Toronto,Woodbine-Lumsden (60),N,N,Beaches-East York ,19,416-396-2842,https://www.toronto.ca/data/parks/prd/facilities/complex/297/index.html,fe85a786-9ff6-47d8-8430-5a758fb76a17,"c(-79.3150895901646, 43.6981800399858)"
71,103,Y,STEPHEN LEACOCK COMMUNITY RECREATION CENTRE,Stephen Leacock Community Recreation Centre,2500 BIRCHMOUNT RD,M1T 2M5,Community Recreation Centre,4378,2105,City of Toronto,Tam O'Shanter-Sullivan (118),N,N,Scarborough-Agincourt ,22,416-396-4184,https://www.toronto.ca/data/parks/prd/facilities/complex/1105/index.html,5b051ce6-77ef-4042-a446-39a5ab6471fa,"c(-79.3023537198341, 43.7865283500433)"
72,104,Y,STEPHEN LEACOCK SENIORS' COMMUNITY CENTRE,Stephen Leacock Seniors' Community Centre,2520 BIRCHMOUNT RD,M1T 2M5,Community Recreation Centre,4166,14344,City of Toronto,Tam O'Shanter-Sullivan (118),N,N,Scarborough-Agincourt ,22,416-396-4040,https://www.toronto.ca/data/parks/prd/facilities/complex/1873/index.html,aa5cc334-92c6-43a3-b678-93f9ebea270f,"c(-79.302473110427, 43.7868718198023)"
73,106,Y,THISTLETOWN COMMUNITY CENTRE,Thistletown Community Centre,925 ALBION RD,M9V 1A6,Community Recreation Centre,4458,2106,City of Toronto,Thistletown-Beaumond Heights (3),Y,N,Etobicoke North,1,416-394-8717,https://www.toronto.ca/data/parks/prd/facilities/complex/354/index.html,d431c3d3-f564-4173-b097-5a21e3e71df0,"c(-79.5625803395713, 43.7354704800398)"
74,107,Y,THISTLETOWN SENIORS' CENTRE,Thistletown Seniors' Centre,925 ALBION RD,M9V 1A6,Community Recreation Centre,4459,13072,City of Toronto,Thistletown-Beaumond Heights (3),Y,N,Etobicoke North,1,416-394-8869,https://www.toronto.ca/data/parks/prd/facilities/complex/397/index.html,5e5e7577-4d1b-49d7-a06d-c11c2593e9a1,"c(-79.5625803395713, 43.7354704800398)"
75,108,Y,TRACE MANES PARK COMMUNITY CENTRE,Trace Manes Park Community Centre,110 RUMSEY RD,M4G 1P2,Community Recreation Centre,4340,13073,City of Toronto,Leaside-Bennington (56),N,N,Don Valley West ,15,416-396-2853,https://www.toronto.ca/data/parks/prd/facilities/complex/705/index.html,8d4666d0-8651-437f-b21c-7c897028d4ec,"c(-79.3671729401574, 43.7057256696995)"
76,109,Y,TRINITY COMMUNITY RECREATION CENTRE,Trinity Community Recreation Centre,155 CRAWFORD ST,M6J 2V5,Community Recreation Centre,4174,2006,City of Toronto,Trinity-Bellwoods (81),N,N,Spadina-Fort York ,10,416-392-0743,https://www.toronto.ca/data/parks/prd/facilities/complex/287/index.html,2ac3d799-dad4-4bed-b9ce-83dfb31a31ff,"c(-79.4153739098327, 43.646435279749)"
77,110,Y,WARDEN HILLTOP COMMUNITY CENTRE,Warden Hilltop Community Centre,25 MENDELSSOHN ST,M1L 0G6,Community Recreation Centre,20581,1569,City of Toronto,Clairlea-Birchmount (120),N,N,Scarborough Southwest ,20,416-392-7640,https://www.toronto.ca/data/parks/prd/facilities/complex/1865/index.html,a49bd529-54ca-4114-9da5-967e7e0ff7f5,"c(-79.2804886800046, 43.7149029401169)"
78,111,Y,WELLESLEY COMMUNITY CENTRE,Wellesley Community Centre,495 SHERBOURNE ST,M4X 1K7,Community Recreation Centre,4176,1095,City of Toronto,North St.James Town (74),N,N,Toronto Centre ,13,416-392-0227,https://www.toronto.ca/data/parks/prd/facilities/complex/451/index.html,d2373552-cfd8-432e-8cfe-d40d32788094,"c(-79.3744794000972, 43.6677968499193)"
79,112,Y,WEST ACRES SENIOR CENTRE,West Acres Senior Centre,65 HINTON RD,M9W 6Z8,Community Recreation Centre,4461,2108,TCHC (Toronto Community Housing Corporation),Rexdale-Kipling (4),N,N,Etobicoke North,1,416-394-8680,https://www.toronto.ca/data/parks/prd/facilities/complex/396/index.html,f9e173dc-d145-402b-b180-fc6b7dd2e24c,"c(-79.5716568300655, 43.7252784700688)"
80,116,Y,AMESBURY SPORTS COMPLEX,Amesbury Sports Complex,155 CULFORD RD,M6M 4K6,"Community Recreation Centre,Outdoor Pool Building",13522,1617,City of Toronto,Brookhaven-Amesbury (30),N,N,York-South-Weston,5,416-395-6683,https://www.toronto.ca/data/parks/prd/facilities/complex/480/index.html,a464c994-957c-4d0b-bdc9-7d43514ef507,"c(-79.4826225798244, 43.7071746902646)"
81,117,Y,DOMENICO DILUCA COMMUNITY RECREATION CENTRE,Domenico Diluca Community Centre,25 STANLEY RD,M3N 1C2,"Community Recreation Centre,Outdoor Pool Building",13562,13020,City of Toronto,Glenfield-Jane Heights (25) ,Y,N,Humber River-Black Creek,7,416-395-6673,https://www.toronto.ca/data/parks/prd/facilities/complex/760/index.html,e847d13d-9f22-4f09-9d81-9216446a091c,"c(-79.5158439400161, 43.7424451802391)"
82,118,Y,DRIFTWOOD COMMUNITY RECREATION CENTRE,Driftwood Community Recreation Centre,4401 JANE ST,M3N 2K3,"Community Recreation Centre,Outdoor Pool Building",4348,2064,City of Toronto,Glenfield-Jane Heights (25) ,Y,N,Humber River-Black Creek,7,416-395-0226,https://www.toronto.ca/data/parks/prd/facilities/complex/575/index.html,99e35b92-c529-478b-928d-a04fc4858ed0,"c(-79.5187789803911, 43.76545582971)"
83,119,Y,LAWRENCE HEIGHTS COMMUNITY CENTRE,Lawrence Heights Community Centre,5 REPLIN RD,M6A 2M8,"Community Recreation Centre,Outdoor Pool Building",4438,612,City of Toronto,Englemount-Lawrence (32),N,Y,Eglinton-Lawrence,8,416-395-6118,https://www.toronto.ca/data/parks/prd/facilities/complex/675/index.html,a062d8f8-a536-4b1a-baf4-8935b76e2997,"c(-79.4423626804298, 43.7179974998697)"
84,120,Y,NORTHWOOD COMMUNITY CENTRE,Northwood Community Centre,15 CLUBHOUSE CRT,M3L 2L7,"Community Recreation Centre,Outdoor Pool Building",4423,771,City of Toronto,Glenfield-Jane Heights (25) ,Y,N,Humber River-Black Creek,7,416-395-7284,https://www.toronto.ca/data/parks/prd/facilities/complex/703/index.html,e65cbc83-dd3e-462c-a456-834bd75764c8,"c(-79.4999933303212, 43.7455256600104)"
85,121,Y,OAKDALE COMMUNITY CENTRE,Oakdale Community Centre,350 GRANDRAVINE DR,M3J 1B3,"Community Recreation Centre,Outdoor Pool Building",4425,1892,City of Toronto,Glenfield-Jane Heights (25) ,Y,N,Humber River-Black Creek,7,416-395-0484,https://www.toronto.ca/data/parks/prd/facilities/complex/780/index.html,88d468be-8093-4eef-a330-65038d3cabb9,"c(-79.5127433697787, 43.7480596203221)"
86,122,Y,O'CONNOR COMMUNITY CENTRE,O'Connor Community Centre,1386 VICTORIA PARK AVE,M4A 2L8,"Community Recreation Centre,Outdoor Pool Building",4424,2092,TCHC (Toronto Community Housing Corporation),Victoria Village (43),Y,N,Beaches-East York ,19,416-395-7957,https://www.toronto.ca/data/parks/prd/facilities/complex/1093/index.html,8d859e16-fbcd-4ccf-8e0c-619ee8617ee7,"c(-79.3018561995921, 43.7176677001972)"
87,123,Y,NORTH TORONTO MEMORIAL COMMUNITY CENTRE,North Toronto Memorial Community Centre,200 EGLINTON AVE W,M4R 1A7,"Community Recreation Centre,Outdoor Pool Building,Washroom Building",4420,1886,City of Toronto,Yonge-Eglinton (100),N,N,Eglinton-Lawrence,8,416-392-6591,https://www.toronto.ca/data/parks/prd/facilities/complex/189/index.html,b8c2f466-bf38-4a1b-94e0-207f0d9797d2,"c(-79.4046230099546, 43.706105830084)"
88,125,Y,THE ELMS POOL AND COMMUNITY SCHOOL,The Elms Pool And Community School,45 GOLFDOWN DR,M9W 2H8,"Community Recreation Centre,School",4457,1987,TDSB,Elms-Old Rexdale (5),Y,N,Etobicoke North,1,416-394-8983,https://www.toronto.ca/data/parks/prd/facilities/complex/795/index.html,161b499f-8de4-4d20-9caa-bb23a6888a28,"c(-79.5521137897183, 43.7222272998932)"
89,127,Y,AGINCOURT,Agincourt Public Library,155 BONIS AVE,M1T 3W6,Library,NA,NA,,Tam O'Shanter-Sullivan (118),N,N,Scarborough-Agincourt ,22,416-396-8943,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB02,483169ba-8871-4e45-982d-3d10f069cd13,"c(-79.2934139502313, 43.7852190603219)"
90,128,Y,ALBERT CAMPBELL,Albert Campbell Public Library,496 BIRCHMOUNT RD,M1K 1N8,Library,NA,NA,,Clairlea-Birchmount (120),N,N,Scarborough Southwest ,20,416-396-8890,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB03,0e01d599-0b20-4b8b-aa4a-6bbd41b38bce,"c(-79.26935138957, 43.7080647900201)"
91,129,Y,ALBION,Albion Public Library,1515 ALBION RD,M9V 1B2,Library,NA,NA,,Mount Olive-Silverstone-Jamestown (2),Y,N,Etobicoke North,1,416-394-5170,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB04,f9156b19-f327-4c85-95f1-4586559dec68,"c(-79.5841715199017, 43.7398614600713)"
92,130,Y,ALDERWOOD,Alderwood Public Library,2 ORIANNA DR,M8W 4Y1,Library,NA,NA,,Alderwood (20),N,N,Etobicoke-Lakeshore,3,416-394-5310,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB020,cbc24283-8b3a-42ec-a445-227249c877e2,"c(-79.5473557702895, 43.6019052099937)"
93,131,Y,AMESBURY PARK,Amesbury Park Public Library,1565 LAWRENCE AVE W,M6L 1A8,Library,NA,NA,,Brookhaven-Amesbury (30),N,N,York South-Weston,5,416-395-5420,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB021,f4f16a73-9694-4aeb-aabe-f990fd985e89,"c(-79.4857521503742, 43.7064464802823)"
94,132,Y,ANNETTE STREET,Annette Street Public Library,145 ANNETTE ST,M6P 1P3,Library,NA,NA,,Junction Area,N,N,Parkdale-High Park,4,416-393-7692,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB022,46274049-e446-470e-ae1b-733e7631451a,"c(-79.4664443500538, 43.6633125501731)"
95,133,Y,ARMOUR HEIGHTS,Armour Heights Community Centre,2140 AVENUE RD,M5M 4M7,Library,NA,NA,,Bedford Park-Nortown (39),N,N,Eglinton-Lawrence,8,416-395-5430,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB023,8c2fc68f-029f-481f-b724-a9eec81ab2d2,"c(-79.421917830352, 43.7394458297953)"
96,134,Y,BARBARA FRUM,Barbara Frum Community Centre,20 COVINGTON RD,M6A 3C1,Library,NA,NA,,Englemount-Lawrence (32),N,Y,Eglinton-Lawrence,8,416-395-5440,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB05,68f0ac68-e37d-4c72-85e4-40c0d7bc71b0,"c(-79.4322078100477, 43.7207939299578)"
97,135,Y,BAYVIEW,Bayview Public Library,2901 BAYVIEW AVE,M2K 1E6,Library,NA,NA,,Bayview Village (52),N,N,Don Valley North ,17,416-395-5460,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB024,1f145645-39c4-4057-86cf-dccaa84e8c04,"c(-79.3860258399061, 43.76920286031)"
98,136,Y,BEACHES,Beaches Public Library,2161 QUEEN ST E,M4L 1J1,Library,NA,NA,,The Beaches (63),N,N,Beaches-East York ,19,416-393-7703,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB025,33379044-ac7f-4929-98fb-33b62d9550a6,"c(-79.2984973098116, 43.6700914599423)"
99,137,Y,BENDALE,Bendale Public Library,1515 DANFORTH RD,M1J 1H5,Library,NA,NA,,Bendale South (157),N,N,Scarborough Centre ,21,416-396-8910,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB026,bace4602-bf71-4e52-8b91-f28616ad7cf6,"c(-79.2440272996023, 43.7510824102648)"
100,138,Y,BLACK CREEK,Black Creek Public Library,1700 WILSON AVE,M3L 1B2,Library,NA,NA,,Oakdale-Beverley Heights (154),Y,N,Humber River-Black Creek,7,416-395-5470,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB027,d53c08bb-b91d-438d-bd74-4d6ecb49642a,"c(-79.5125311904035, 43.7209712998521)"
101,139,Y,BLOOR/GLADSTONE,Bloor Gladstone Public Library,1101 BLOOR ST W,M6H 1M7,Library,NA,NA,,Dufferin Grove (83),N,N,Davenport,9,416-393-7674,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB06,a6d7ba71-6eb5-4713-b6b6-0fc52242d4ac,"c(-79.434018490267, 43.6599223003195)"
102,140,Y,BRENTWOOD,Brentwood Public Library,36 BRENTWOOD RD N,M8X 2B5,Library,NA,NA,,Kingsway South (15),N,N,Etobicoke-Lakeshore,3,416-394-5240,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB07,064b073b-f6d1-4aca-96bd-7febdbb172a9,"c(-79.5143110000181, 43.647433359757)"
103,141,Y,BRIDLEWOOD,Bridlewood Public Library,2900 WARDEN AVE,M1W 2S8,Library,NA,NA,,L'Amoreaux West (147),N,Y,Scarborough-Agincourt ,22,416-396-8960,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB028,448a3175-4a1d-42e0-9316-71ced7f9dd34,"c(-79.3183674501099, 43.7985548100335)"
104,142,Y,BROOKBANKS,Brookbanks Public Library,210 BROOKBANKS DR,M3A 2T8,Library,NA,NA,,Fenside-Parkwoods (150),N,N,Don Valley East ,16,416-395-5480,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB029,ba876ef3-5675-4cb3-b3d1-5387ab55bb09,"c(-79.3259043800224, 43.7595499197963)"
105,143,Y,BURROWS HALL,Burrows Hall Community Centre,1081 PROGRESS AVE,M1B 5Z6,Library,NA,NA,,Malvern East (146),N,Y,Scarborough North ,23,416-396-8740,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB030,8f78cb79-cb72-4d1f-9ddd-4374932f9f83,"c(-79.2343702198552, 43.7940559999768)"
106,144,Y,CEDARBRAE,Cedarbrae Public Library,545 MARKHAM RD,M1H 2A1,Library,NA,NA,,Golfdale-Cedarbrae-Woburn (141),Y,N,Scarborough-Guildwood ,24,416-396-8850,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB08,5ddc195b-ce09-4464-8cc8-af7582c8ac8e,"c(-79.223968429551, 43.7575573502427)"
107,145,Y,CENTENNIAL,Centennial Public Library,578 FINCH AVE W,M2R 1N7,Library,NA,NA,,Westminster-Branson (35) ,N,Y,York Centre,6,416-395-5490,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB031,f4b57028-8de3-4956-8901-184d62550131,"c(-79.4495934896462, 43.7730467302778)"
108,146,Y,CITY HALL,City Hall Public Library,100 QUEEN ST W,M5H 2N1,Library,NA,NA,,Yonge-Bay Corridor (170),N,N,Spadina-Fort York ,10,416-393-7650,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB032,885034dc-0c81-430b-b921-8540887ccbec,"c(-79.3836250599699, 43.65282214002)"
109,147,Y,CLIFFCREST,Cliffcrest Public Library,3017 KINGSTON RD,M1M 1P1,Library,NA,NA,,Cliffcrest (123),N,N,Scarborough Southwest ,20,416-396-8916,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB033,8179f884-ed9e-4d11-98f9-3b895f30cefd,"c(-79.2307801603144, 43.7252731799125)"
110,148,Y,COLLEGE/SHAW,College Shaw Public Library,766 COLLEGE ST,M6G 1C4,Library,NA,NA,,Palmerston-Little Italy (80),N,N,University-Rosedale ,11,416-393-7668,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB034,b8b1aad4-f505-486e-a9ab-4c0693cf8406,"c(-79.4201598596803, 43.6552104396855)"
111,149,Y,DANFORTH/COXWELL,Danforth/Coxwell Public Library,1675 DANFORTH AVE,M4C 5P2,Library,NA,NA,,Woodbine Corridor (64),N,N,Beaches-East York ,19,416-393-7783,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB035,288c1999-1caf-4f94-91f1-89ff1f3df398,"c(-79.3213561603315, 43.683644979982)"
112,150,Y,DAVENPORT,Davenport Public Library,1246 SHAW ST,M6G 3P1,Library,NA,NA,,Wychwood (94),N,N,Toronto-St. Paul's ,12,416-393-7732,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB036,46d14e0d-f655-4254-b41d-32519de8facc,"c(-79.4284212404452, 43.6745786896851)"
113,151,Y,DAWES ROAD,Dawes Road Public Library,416 DAWES RD,M4B 2E8,Library,NA,NA,,O'Connor-Parkview (54),N,N,Beaches-East York ,19,416-396-3820,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB037,09eb2777-0948-483b-9534-ec9fda45298c,"c(-79.2972330397453, 43.7012108901377)"
114,152,Y,DEER PARK,Deer Park Public Library,40 ST CLAIR AVE E,M4T 1M9,Library,NA,NA,,Rosedale-Moore Park (98),N,N,Toronto-St. Paul's ,12,416-393-7657,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB038,4328dcb7-c0db-413b-9fd9-9f1803bd0791,"c(-79.3924967498507, 43.6886683499055)"
115,153,Y,DON MILLS,Don Mills Library,888 LAWRENCE AVE E,M3C 1P6,Library,NA,NA,,Banbury-Don Mills (42),N,N,Don Valley East ,16,416-395-5710,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB09,423db2ea-2d1f-4481-b7a3-85b17fb83d97,"c(-79.3474755396, 43.7366195798188)"
116,154,Y,DOWNSVIEW,Downsview Public Library,2793 KEELE ST,M3M 2G3,Library,NA,NA,,Downsview (155),Y,N,York Centre,6,416-395-5720,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB039,dbff90d0-75b0-4744-b87b-905d438cd20d,"c(-79.4820629895895, 43.728941599947)"
117,155,Y,DUFFERIN/ST. CLAIR,Dufferin St. Clair Public Library,1625 DUFFERIN ST,M6H 3L9,Library,NA,NA,,Corso Italia-Davenport (92),N,N,Davenport,9,416-393-7712,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB040,32234a74-0871-47a8-a293-2772804a99f7,"c(-79.4424027003757, 43.6770052899071)"
118,156,Y,EATONVILLE,Eatonville Public Library,430 BURNHAMTHORPE RD,M9B 2B1,Library,NA,NA,,Islington (158),N,N,Etobicoke Centre,2,416-394-5270,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB041,928d0110-89fc-48c6-9f29-6b3033fa5fa7,"c(-79.5593382604221, 43.646139600098)"
119,157,Y,EGLINTON SQUARE,Eglinton Square Public Library,1 EGLINTON SQ,M1L 2K1,Library,NA,NA,,Clairlea-Birchmount (120),N,N,Scarborough Southwest ,20,416-396-8920,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB042,a8baa615-067a-4b06-9a31-6a7681504cd5,"c(-79.3008259496405, 43.7230127700417)"
120,158,Y,ELMBROOK PARK,Elmbrook Park,2 ELMBROOK CRES,M9C 5B4,Library,NA,NA,,Eringate-Centennial-West Deane (11),N,N,Etobicoke Centre,2,416-394-5290,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB043,e14166c5-9a34-4108-a447-ed16058eeac0,"c(-79.5839169499266, 43.6599328102815)"
121,159,Y,EVELYN GREGORY,Evelyn Gregory Public Library,120 TROWELL AVE,M6M 1L7,Library,NA,NA,,Keelesdale-Eglinton West (110),Y,N,York South-Weston,5,416-394-1006,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB044,38b38b3b-ec23-4622-b2cc-3f6c7f4301b2,"c(-79.4723665995655, 43.6863324503016)"
122,160,Y,FAIRVIEW,Fairview Public Library,35 FAIRVIEW MALL DR,M2J 4S4,Library,NA,NA,,Don Valley Village (47),N,N,Don Valley North ,17,416-395-5750,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB010,b1cbef53-1772-4d6c-a7f7-82a01b816740,"c(-79.3467821803378, 43.779110240262)"
123,161,Y,FLEMINGDON PARK,Dennis R. Timbrell Resource Centre,29 ST DENNIS DR,M3C 3J3,Library,NA,NA,,Flemingdon Park (44),Y,N,Don Valley East ,16,416-395-5820,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB045,c5d15ad3-27c7-45cd-8554-750e59a8d37a,"c(-79.3316873601224, 43.7179406800766)"
124,162,Y,FOREST HILL,Forest Hill Public Library,700 EGLINTON AVE W,M5N 1B9,Library,NA,NA,,Forest Hill North (102),N,N,Eglinton-Lawrence,8,416-393-7706,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB046,e61aefc0-96f5-4c6c-a405-67efae54c431,"c(-79.4208022296686, 43.7022301901247)"
125,163,Y,FORT YORK,Fort York Public Library,190 FORT YORK BLVD,M5V 0E7,Library,NA,NA,,Harbourfront-CityPlace (165),N,N,Spadina-Fort York ,10,416-393-6240,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB140,0adac163-db70-4f25-a035-487fcd3e1506,"c(-79.400325539704, 43.6393118501847)"
126,164,Y,GERRARD/ASHDALE,Gerrard Ashdale Public Library,1432 GERRARD ST E,M4L 1Z6,Library,NA,NA,,Greenwood-Coxwell (65),N,N,Toronto-Danforth ,14,416-393-7717,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB047,c314e11c-f54c-414c-b7ae-39fabf33df3e,"c(-79.3221213201377, 43.672489529798)"
127,165,Y,GOLDHAWK PARK,Goldhawk Community Centre,295 ALTON TOWERS CRCL,M1V 4P1,Library,NA,NA,,Milliken (130),N,N,Scarborough North ,23,416-396-8964,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB048,e96e4932-77e5-4e9b-bb9a-4044cb092f3c,"c(-79.2781945597371, 43.8240886999543)"
128,166,Y,GUILDWOOD,Guildwood Public Library,123 GUILDWOOD PKWY,M1E 4V2,Library,NA,NA,,Guildwood (140),N,N,Scarborough-Guildwood ,24,416-396-8872,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB139,a50fc79a-027e-4644-9e96-a436ce8ef299,"c(-79.199373740153, 43.7468515901145)"
129,167,Y,HIGH PARK,High Park Public Library,228 RONCESVALLES AVE,M6R 2L7,Library,NA,NA,,High Park-Swansea (87),N,N,Parkdale-High Park,4,416-393-7671,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB049,bbbd6651-1bb8-4b25-b394-f89ad39cc151,"c(-79.4489629396904, 43.6451348499186)"
130,168,Y,HIGHLAND CREEK,Highland Creek Public Library,3550 ELLESMERE RD,M1C 3Z2,Library,NA,NA,,Highland Creek (134),N,N,Scarborough-Rouge Park ,25,416-396-8876,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB050,6460bc33-9ef5-48a1-aa8b-030426e20ebb,"c(-79.1752378203707, 43.7900692596962)"
131,169,Y,HILLCREST,Hillcrest Public Library,5801 LESLIE ST,M2H 1J8,Library,NA,NA,,Hillcrest Village (48),N,N,Don Valley North ,17,416-395-5830,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB051,870334d9-d3a3-4997-a7f9-e90127bca7a6,"c(-79.3690158303695, 43.7971171699601)"
132,170,Y,HUMBER BAY,Humber Bay Public Library,200 PARK LAWN RD,M8Y 3J1,Library,NA,NA,,Stonegate-Queensway (16),N,N,Etobicoke-Lakeshore,3,416-394-5300,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB052,67a66b35-e2d2-492e-a283-f0864b4727c6,"c(-79.4912526696061, 43.63032402017)"
133,171,Y,HUMBER SUMMIT,Whitfield Parkette,2990 ISLINGTON AVE,M9L 2K6,Library,NA,NA,,Humber Summit (21),Y,N,Humber River-Black Creek,7,416-395-5840,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB053,fc2d3998-6403-4d5d-a14c-a7e8e189d9a7,"c(-79.5715992902766, 43.7590380302632)"
134,172,Y,HUMBERWOOD,Humberwood Public Library,850 HUMBERWOOD BLVD,M9W 7A6,Library,NA,NA,,West Humber-Clairville (1),N,N,Etobicoke North,1,416-394-5210,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB054,3b4e6c25-f3ef-4a4e-95cc-72e9d4aee506,"c(-79.6191818803716, 43.7288858603148)"
135,173,Y,JANE/DUNDAS,Jane/Dundas Public Library,620 JANE ST,M6S 4A6,Library,NA,NA,,Runnymede-Bloor West Village (89),N,N,Parkdale-High Park,4,416-394-1014,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB055,7b7fde0e-d563-40f4-aab1-e1f327bec79b,"c(-79.4914703098399, 43.6654731900722)"
136,174,Y,JANE/SHEPPARD,Jane/Sheppard Public Library,1906 SHEPPARD AVE W,M3L 1Y7,Library,NA,NA,,Glenfield-Jane Heights (25) ,Y,N,Humber River-Black Creek,7,416-395-5966,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB056,caa80edf-c96e-46ff-a2bc-4fdfc9ee51e6,"c(-79.5100357001886, 43.7399603999195)"
137,175,Y,JONES,Jones Public Library,118 JONES AVE,M4M 2Z9,Library,NA,NA,,South Riverdale (70),N,N,Toronto-Danforth ,14,416-393-7715,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB057,4ebf708b-cf7c-47ca-af49-5764238e4499,"c(-79.3345471603041, 43.6659547802709)"
138,176,Y,KENNEDY/EGLINTON,Kennedy Eglinton Public Library,2380 EGLINTON AVE E,M1K 2P3,Library,NA,NA,,Ionview (125),Y,N,Scarborough Centre ,21,416-396-8924,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB138,a062d55c-3028-4156-9869-eff0b02558ee,"c(-79.2703636498597, 43.7322626898654)"
139,177,Y,LEASIDE,Leaside Public Public Library,165 MCRAE DR,M4G 1S8,Library,NA,NA,,Leaside-Bennington (56),N,N,Don Valley West ,15,416-396-3835,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB059,3f9b3271-741d-467d-b9b8-43be0a578b22,"c(-79.3675598104142, 43.7064608296879)"
140,178,Y,LILLIAN H. SMITH,Lillian H. Smith Public Library,239 COLLEGE ST,M5T 1R5,Library,NA,NA,,Kensington-Chinatown (78),N,N,University-Rosedale ,11,416-393-7746,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB011,862ebe69-a0e1-4467-a241-32e31e4863d0,"c(-79.3983856197631, 43.657926399719)"
141,179,Y,LOCKE,Locke Public Library,3083 YONGE ST,M4N 2K7,Library,NA,NA,,Lawrence Park South (103) ,N,N,Don Valley West ,15,416-393-7730,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB060,74f0a6c0-e9d9-4b01-88f7-24372f1e2c5c,"c(-79.4017318495863, 43.724894860143)"
142,180,Y,LONG BRANCH,Long Branch Public Library,3500 LAKE SHORE BLVD W,M8W 1N6,Library,NA,NA,,Long Branch (19),N,N,Etobicoke-Lakeshore,3,416-394-5320,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB061,5b3a8134-7ff4-42f3-83fd-9268fb7a6b2a,"c(-79.5313254598085, 43.5953143597584)"
